Date;RUONIA
22.05.2014;8.25
23.05.2014;7.55
26.05.2014;8.11
27.05.2014;7.94
28.05.2014;8.08
29.05.2014;8.27
30.05.2014;8.19
02.06.2014;7.68
03.06.2014;7.35
04.06.2014;7.56
05.06.2014;7.82
06.06.2014;7.96
09.06.2014;8.41
10.06.2014;8.35
11.06.2014;8.35
16.06.2014;8.4
17.06.2014;8.38
18.06.2014;8.34
19.06.2014;8.21
20.06.2014;8.29
23.06.2014;8.21
24.06.2014;8.2
25.06.2014;8.47
26.06.2014;8.45
27.06.2014;8.4
30.06.2014;8.63
01.07.2014;8.17
02.07.2014;7.96
03.07.2014;7.36
04.07.2014;7.24
07.07.2014;7.73
08.07.2014;7.47
09.07.2014;6.87
10.07.2014;7.94
11.07.2014;8.35
14.07.2014;8.36
15.07.2014;8.5
16.07.2014;8.2
17.07.2014;8.12
18.07.2014;8.41
21.07.2014;8.6
22.07.2014;8.41
23.07.2014;8.23
24.07.2014;8.05
25.07.2014;8.39
28.07.2014;8.96
29.07.2014;8.77
30.07.2014;8.64
31.07.2014;8.1
01.08.2014;7.46
04.08.2014;7.26
05.08.2014;7.24
06.08.2014;7.39
07.08.2014;7.33
08.08.2014;7.46
11.08.2014;8.24
12.08.2014;8.12
13.08.2014;7.82
14.08.2014;7.48
15.08.2014;7.43
18.08.2014;7.89
19.08.2014;8.36
20.08.2014;8.2
21.08.2014;8.01
22.08.2014;8.09
25.08.2014;8.38
26.08.2014;8.36
27.08.2014;8.18
28.08.2014;8.08
29.08.2014;8.11
01.09.2014;8.13
02.09.2014;8.02
03.09.2014;7.78
04.09.2014;7.56
05.09.2014;7.41
08.09.2014;7.26
09.09.2014;7.25
10.09.2014;7.73
11.09.2014;7.98
12.09.2014;8.1
15.09.2014;8.19
16.09.2014;8.57
17.09.2014;8.84
18.09.2014;8.16
19.09.2014;7.91
22.09.2014;8.12
23.09.2014;7.96
24.09.2014;7.83
25.09.2014;7.95
26.09.2014;8.03
29.09.2014;7.91
30.09.2014;8.08
01.10.2014;7.9
02.10.2014;7.71
03.10.2014;7.3
06.10.2014;7.23
07.10.2014;7.25
08.10.2014;7.41
09.10.2014;7.5
10.10.2014;8.04
13.10.2014;8.15
14.10.2014;8.45
15.10.2014;8.53
16.10.2014;8.59
17.10.2014;8.42
20.10.2014;8.64
21.10.2014;8.62
22.10.2014;8.44
23.10.2014;8.63
24.10.2014;8.55
27.10.2014;8.64
28.10.2014;8.73
29.10.2014;8.77
30.10.2014;8.73
31.10.2014;9.06
05.11.2014;10.39
06.11.2014;10.22
07.11.2014;9.82
10.11.2014;10.02
11.11.2014;9.86
12.11.2014;10.18
13.11.2014;9.9
14.11.2014;9.69
17.11.2014;9.94
18.11.2014;9.89
19.11.2014;10.03
20.11.2014;10.22
21.11.2014;10.6
24.11.2014;10.66
25.11.2014;10.93
26.11.2014;10.57
27.11.2014;10.46
28.11.2014;10.69
01.12.2014;10.33
02.12.2014;9.88
03.12.2014;9.42
04.12.2014;9.41
05.12.2014;9.73
08.12.2014;10.18
09.12.2014;10.33
10.12.2014;10.64
11.12.2014;11.5
12.12.2014;11.62
15.12.2014;11.84
16.12.2014;18.69
17.12.2014;23.62
18.12.2014;28.65
19.12.2014;24.3
22.12.2014;23.36
23.12.2014;19.93
24.12.2014;18.37
25.12.2014;16.75
26.12.2014;16.97
29.12.2014;16.96
30.12.2014;17.39
12.01.2015;17.55
13.01.2015;17.19
14.01.2015;17.07
15.01.2015;17.1
16.01.2015;16.93
19.01.2015;16.96
20.01.2015;16.97
21.01.2015;16.91
22.01.2015;16.85
23.01.2015;16.81
26.01.2015;16.86
27.01.2015;16.97
28.01.2015;16.8
29.01.2015;16.74
30.01.2015;16.63
02.02.2015;14.95
03.02.2015;14.85
04.02.2015;14.82
05.02.2015;14.59
06.02.2015;14.58
09.02.2015;14.85
10.02.2015;15.47
11.02.2015;15.34
12.02.2015;15.24
13.02.2015;15.23
16.02.2015;15.15
17.02.2015;15.42
18.02.2015;14.98
19.02.2015;15
20.02.2015;15.01
24.02.2015;14.99
25.02.2015;15.47
26.02.2015;15.54
27.02.2015;15.49
